5|Child|32: 573 130 55 23 10 4 1 
8|Child|16: 573 130 55 27 10 4 1 
4582|Child|30: 978 645 124 45 21 10 4 1 
4597|Survivor|10|Mutated: 944 605 137 45 21 10 4 1 
4609|Survivor|6|Mutated: 986 651 137 45 21 10 4 1 
4630|Child|30|Mutated: 944 605 145 51 19 10 4 1 
4647|Child|37|Mutated: 944 605 137 46 21 10 4 1 
4666|Child|7|Mutated: 944 605 144 45 23 10 4 1 
4694|Child|34|Mutated: 944 645 137 45 21 10 4 1 
4712|Child|3|Mutated: 944 627 137 46 21 10 4 1 
4714|Child|34|Mutated: 963 605 137 45 21 10 4 1 
4721|Child|48|Mutated: 944 605 152 45 21 10 4 1 
4734|Child|22|Mutated: 925 605 137 45 21 10 4 1 
4740|Child|30|Mutated: 940 605 137 45 21 10 4 1 
4757|Child|19|Mutated: 947 605 137 45 21 10 4 1 
4759|Child|34|Mutated: 944 650 137 45 21 10 4 1 
4763|Child|9|Mutated: 944 618 137 45 21 10 4 1 
4788|Child|7|Mutated: 944 643 137 45 21 10 4 1 
4793|Survivor|2|Mutated: 944 605 124 49 21 10 4 1 
4807|Survivor|9|Mutated: 957 605 137 45 21 10 4 1 
4825|Survivor|6|Mutated: 944 649 137 45 21 10 4 1 
4831|Child|2|Mutated: 944 649 124 45 21 10 4 1 
4839|Child|33|Mutated: 944 649 148 45 21 10 4 1 
4842|Child|37|Mutated: 973 605 137 45 21 10 4 1 
4856|Child|46|Mutated: 944 627 137 45 21 10 4 1 
4871|Child|15|Mutated: 944 605 116 45 21 10 4 1 
4873|Survivor|1|Mutated: 915 605 137 45 21 10 4 1 
4880|Child|34|Mutated: 944 704 137 45 21 10 4 1 
4884|Child|20|Mutated: 944 572 137 45 21 10 4 1 
4908|Child|32|Mutated: 887 605 137 45 21 10 4 1 
4928|Child|38|Mutated: 944 708 137 45 21 10 4 1 
4937|Child|22|Mutated: 944 690 137 49 21 10 4 1 
4947|Child|17|Mutated: 944 624 137 45 21 10 4 1 
4948|Survivor|2: 944 563 137 45 21 10 4 1 
4950|Child|28|Mutated: 944 605 137 54 23 10 4 1 
4961|Child|49: 944 606 137 45 21 10 4 1 
4976|Child|49|Mutated: 864 605 137 45 21 10 4 1 
4977|Child|19|Mutated: 944 578 137 45 21 10 4 1 
4993|Child|8|Mutated: 944 710 128 45 21 10 4 1 
5009|Child|10|Mutated: 944 719 137 45 21 10 4 1 
5011|Child|6|Mutated: 944 631 137 45 21 10 4 1 
5014|Random|32: 649 139 61 23 10 4 1 
5028|Child|11|Mutated: 957 605 137 51 23 10 4 1 
5035|Child|18|Mutated: 980 605 137 45 21 10 4 1 
5044|Child|39|Mutated: 944 600 137 45 21 10 4 1 
5098|Survivor|2|Mutated: 944 711 137 45 21 10 4 1 
5129|Child|39|Mutated: 944 692 137 45 21 10 4 1 
5135|Child|41|Mutated: 922 605 137 45 21 10 4 1 
5164|Child|45|Mutated: 944 583 137 45 21 10 4 1 
5167|Child|23|Mutated: 944 685 143 45 21 10 4 1 
5170|Child|48|Mutated: 898 605 137 45 21 10 4 1 
5172|Child|25|Mutated: 944 721 137 54 23 10 4 1 
5191|Child|11|Mutated: 944 629 137 45 21 10 4 1 
5204|Child|33|Mutated|Validated: 911 605 137 45 21 10 4 1 
5222|Child|47|Mutated: 944 584 137 45 21 10 4 1 
5237|Child|1|Mutated: 984 605 137 45 21 10 4 1 
5251|Survivor|1|Mutated: 883 605 137 45 21 10 4 1 
5261|Child|17|Mutated: 944 626 137 45 21 10 4 1 
5281|Survivor|8|Mutated: 880 605 137 45 21 10 4 1 
5284|Survivor|3: 944 705 137 45 21 10 4 1 
5293|Child|19|Mutated: 958 605 137 45 21 10 4 1 
5323|Child|22|Mutated: 944 714 137 45 21 10 4 1 
5324|Survivor|10|Mutated: 952 605 137 45 21 10 4 1 
5361|Child|22|Mutated: 979 605 137 45 21 10 4 1 
5368|Survivor|9|Mutated: 905 605 137 45 21 10 4 1 
5379|Child|4|Mutated: 952 657 137 45 21 10 4 1 
5381|Child|44|Mutated: 946 605 137 45 21 10 4 1 
5384|Child|33|Mutated: 976 605 137 45 21 10 4 1 
5401|Child|38|Mutated: 952 605 127 45 21 10 4 1 
5409|Child|37|Mutated: 952 630 137 45 21 10 4 1 
5418|Child|22|Mutated: 923 602 137 45 21 10 4 1 
5437|Child|8|Mutated: 982 605 137 45 21 10 4 1 
5438|Child|31|Mutated: 982 650 137 45 21 10 4 1 
5442|Survivor|8|Mutated: 952 605 137 51 23 10 4 1 
5462|Child|28|Mutated: 950 615 137 45 21 10 4 1 
5465|Child|31|Mutated: 952 721 137 45 21 10 4 1 
5495|Random|40: 775 202 58 23 10 4 1 
5505|Child|2|Mutated: 952 605 137 46 21 10 4 1 
5513|Child|24|Mutated: 926 682 137 45 21 10 4 1 
5515|Child|21|Mutated: 952 605 134 45 21 10 4 1 
5522|Child|18|Mutated: 935 605 137 45 21 10 4 1 
5530|Child|21|Mutated: 952 605 155 45 21 10 4 1 
5534|Child|37|Mutated: 952 653 137 45 21 10 4 1 
5538|Child|17|Mutated: 919 605 137 45 21 10 4 1 
5550|Child|2|Mutated: 952 605 134 45 19 10 4 1 
